"Market","Forecast","Timestamp"
"Sundar Pichai leaves Google in 2024?","14.05%","2024-01-27T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","14.05%","2024-01-27T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","15.76%","2024-01-28T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","15.76%","2024-01-28T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","15.76%","2024-01-29T09:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","15.76%","2024-01-29T23:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.56%","2024-01-30T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.56%","2024-01-30T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.56%","2024-01-31T09:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.56%","2024-01-31T23:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.00%","2024-02-01T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.00%","2024-02-01T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.00%","2024-02-02T09:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.00%","2024-02-02T23:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.00%","2024-02-03T13:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.00%","2024-02-04T03:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.00%","2024-02-04T17:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.00%","2024-02-05T07:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.00%","2024-02-05T21:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.00%","2024-02-06T11:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.00%","2024-02-07T01:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.00%","2024-02-07T15:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.00%","2024-02-08T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.00%","2024-02-08T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","15.90%","2024-02-09T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","15.90%","2024-02-09T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","15.90%","2024-02-10T09:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","15.90%","2024-02-10T23:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","15.90%","2024-02-11T13:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","15.90%","2024-02-12T03:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","15.90%","2024-02-12T17:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","12.00%","2024-02-13T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","12.00%","2024-02-13T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","12.97%","2024-02-14T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","12.97%","2024-02-14T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","14.98%","2024-02-15T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","14.98%","2024-02-15T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","14.98%","2024-02-16T09:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","14.98%","2024-02-16T23:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","12.00%","2024-02-17T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","12.00%","2024-02-17T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","12.00%","2024-02-18T09:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","12.00%","2024-02-18T23:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","12.00%","2024-02-19T13:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","12.00%","2024-02-20T03:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","12.00%","2024-02-20T17:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.12%","2024-02-21T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.12%","2024-02-21T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.00%","2024-02-22T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.00%","2024-02-22T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.00%","2024-02-23T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.00%","2024-02-23T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.29%","2024-02-24T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.29%","2024-02-24T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","7.01%","2024-02-25T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","7.01%","2024-02-25T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.31%","2024-02-26T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.31%","2024-02-26T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.39%","2024-02-27T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.39%","2024-02-27T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.20%","2024-02-28T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.20%","2024-02-28T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.79%","2024-02-29T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.79%","2024-02-29T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.90%","2024-03-01T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.90%","2024-03-01T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.14%","2024-03-02T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.14%","2024-03-02T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","10.36%","2024-03-03T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","10.36%","2024-03-03T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.99%","2024-03-04T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.99%","2024-03-04T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","18.98%","2024-03-05T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","18.98%","2024-03-05T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","18.98%","2024-03-06T09:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","18.98%","2024-03-06T23:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","20.00%","2024-03-07T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","20.00%","2024-03-07T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","15.00%","2024-03-08T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","15.00%","2024-03-08T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","15.00%","2024-03-09T09:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","15.00%","2024-03-09T23:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","20.26%","2024-03-10T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","20.26%","2024-03-10T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","21.00%","2024-03-11T05:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","21.00%","2024-03-11T19:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","14.02%","2024-03-12T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","14.02%","2024-03-12T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","16.16%","2024-03-13T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","16.16%","2024-03-13T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","12.11%","2024-03-14T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","12.11%","2024-03-14T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","10.80%","2024-03-15T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","10.80%","2024-03-15T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","16.31%","2024-03-16T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","16.31%","2024-03-16T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","15.00%","2024-03-17T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","15.00%","2024-03-17T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","15.00%","2024-03-18T08:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","15.00%","2024-03-18T22:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","15.01%","2024-03-19T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","15.01%","2024-03-19T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","15.02%","2024-03-20T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","15.02%","2024-03-20T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","17.67%","2024-03-21T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","17.67%","2024-03-21T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","18.00%","2024-03-22T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","18.00%","2024-03-22T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","18.00%","2024-03-23T08:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","18.00%","2024-03-23T22:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","19.88%","2024-03-24T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","19.88%","2024-03-24T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","19.88%","2024-03-25T08:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","19.88%","2024-03-25T22:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","19.88%","2024-03-26T12:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","19.88%","2024-03-27T02:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","21.00%","2024-03-27T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","21.00%","2024-03-27T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","21.00%","2024-03-28T08:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","21.00%","2024-03-28T22:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","21.00%","2024-03-29T12:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","21.00%","2024-03-30T02:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","21.00%","2024-03-30T16:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","21.00%","2024-03-31T06:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","21.00%","2024-03-31T20:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","16.44%","2024-04-01T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","16.44%","2024-04-01T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.26%","2024-04-02T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.26%","2024-04-02T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","12.40%","2024-04-03T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","12.40%","2024-04-03T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.50%","2024-04-04T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.50%","2024-04-04T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.50%","2024-04-05T08:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.50%","2024-04-05T22:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.50%","2024-04-06T12:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.50%","2024-04-07T02:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.50%","2024-04-07T16:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.50%","2024-04-08T06:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.50%","2024-04-08T20:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.50%","2024-04-09T10:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.50%","2024-04-10T00:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.50%","2024-04-10T14:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","10.22%","2024-04-11T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","10.22%","2024-04-11T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.00%","2024-04-12T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.00%","2024-04-12T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.00%","2024-04-13T08:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.00%","2024-04-13T22:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.00%","2024-04-14T12:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.00%","2024-04-15T02:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.00%","2024-04-15T16:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.00%","2024-04-16T06:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.00%","2024-04-16T20:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.00%","2024-04-17T10:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.00%","2024-04-18T00:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.00%","2024-04-18T14:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.00%","2024-04-19T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","11.00%","2024-04-19T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","12.68%","2024-04-20T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","12.68%","2024-04-20T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.00%","2024-04-21T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.00%","2024-04-21T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.00%","2024-04-22T08:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.00%","2024-04-22T22:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","16.00%","2024-04-23T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","16.00%","2024-04-23T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","16.00%","2024-04-24T08:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","16.00%","2024-04-24T22:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.00%","2024-04-25T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","13.00%","2024-04-25T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.29%","2024-04-26T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.29%","2024-04-26T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.29%","2024-04-27T08:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.29%","2024-04-27T22:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.00%","2024-04-28T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.00%","2024-04-28T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.00%","2024-04-29T08:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.00%","2024-04-29T22:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.00%","2024-04-30T12:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.00%","2024-05-01T02:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.00%","2024-05-01T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.00%","2024-05-01T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-05-02T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-05-02T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.00%","2024-05-03T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.00%","2024-05-03T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.00%","2024-05-04T08:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.00%","2024-05-04T22:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.00%","2024-05-05T12:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.00%","2024-05-06T02:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.00%","2024-05-06T16:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.97%","2024-05-07T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.97%","2024-05-07T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.02%","2024-05-08T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.02%","2024-05-08T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.00%","2024-05-09T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.00%","2024-05-09T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.00%","2024-05-10T08:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.00%","2024-05-10T22:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.00%","2024-05-11T12:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.00%","2024-05-12T02:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.00%","2024-05-12T16:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.00%","2024-05-13T06:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.00%","2024-05-13T20:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.00%","2024-05-14T10:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.00%","2024-05-15T00:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.42%","2024-05-15T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.42%","2024-05-15T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.22%","2024-05-16T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.22%","2024-05-16T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-05-17T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-05-17T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-05-18T08:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-05-18T22:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-05-19T12:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-05-20T02:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-05-20T16:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-05-21T06:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-05-21T20:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-05-22T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-05-22T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-05-23T08:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-05-23T22:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-05-24T12:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-05-25T02:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-05-25T16:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-05-26T06:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-05-26T20:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-05-27T10:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-05-28T00:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.00%","2024-05-28T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.00%","2024-05-28T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.00%","2024-05-29T08:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.00%","2024-05-29T22:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","10.00%","2024-05-30T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","10.00%","2024-05-30T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.90%","2024-05-31T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.90%","2024-05-31T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.90%","2024-06-01T08:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","8.90%","2024-06-01T22:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","7.00%","2024-06-02T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","7.00%","2024-06-02T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","7.00%","2024-06-03T08:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","7.00%","2024-06-03T22:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","7.00%","2024-06-04T12:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","7.00%","2024-06-05T02:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.89%","2024-06-05T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.89%","2024-06-05T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.89%","2024-06-06T08:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.89%","2024-06-06T22:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.00%","2024-06-07T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.00%","2024-06-07T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.00%","2024-06-08T08:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","9.00%","2024-06-08T22:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","10.00%","2024-06-09T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","10.00%","2024-06-09T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","10.00%","2024-06-10T08:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","10.00%","2024-06-10T22:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","10.00%","2024-06-11T12:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","10.00%","2024-06-12T02:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","10.00%","2024-06-12T16:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-06-13T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-06-13T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-06-14T08:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-06-14T22:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-06-15T12:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-06-16T02:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-06-16T16:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-06-17T06:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-06-17T20:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-06-18T10:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-06-19T00:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-06-19T14:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-06-20T04:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-06-20T18:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-06-21T08:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-06-21T22:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-06-22T12:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-06-23T02:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-06-23T16:00:00.000Z"
"Sundar Pichai leaves Google in 2024?","6.00%","2024-06-24T06:00:00.000Z"
